task,model,seed,missing_level,epochs,hidden_dim,batch_size,best_epoch,n_params,train_time_sec,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_auroc,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_infer_ms_per_sample,main_metric
har,lstm,1,0.0,50,64,64,9,304518,7.685087338963058,0.1796185562144155,0.9782608695652174,0.9761904761904764,0.9743589743589745,,0.1935870632407451,0.9564032697547684,0.9538666972068612,0.9545527738796666,,0.0792105749759528,0.9564032697547684
har,lstm,1,0.3,50,64,64,8,304518,7.630221934989095,0.2409708687792653,0.967391304347826,0.9663865546218487,0.9636104636104637,,0.3004929116376414,0.9155313351498636,0.9125763523816802,0.9135892468098352,,0.0749555367555174,0.9155313351498636
har,lstm,1,0.6,50,64,64,8,304518,7.402394240954891,0.2985948570396589,0.9021739130434784,0.8940826330532213,0.8943435777674907,,0.3482575861569646,0.8910081743869209,0.8865083241363979,0.8869181529065249,,0.0781328501420892,0.8910081743869209
har,lstm,2,0.0,50,64,64,16,304518,7.478818997973576,0.0835838800539141,1.0,1.0,1.0,,0.1424608889368314,0.9618528610354224,0.9597549062200702,0.9603933838857618,,0.0721881061739082,0.9618528610354224
har,lstm,2,0.3,50,64,64,11,304518,7.253631672996562,0.1837844369204148,0.967391304347826,0.9671802054154996,0.9644770937874386,,0.2342033252647852,0.9346049046321526,0.9319539275994196,0.9322487377406437,,0.0799792317219322,0.9346049046321526
har,lstm,2,0.6,50,64,64,10,304518,7.5089681390090846,0.2931981877140376,0.9021739130434784,0.8986305633364458,0.8973389812099489,,0.3198888089903693,0.8801089918256131,0.8746670991804187,0.8746874207425837,,0.0734918802210233,0.8801089918256131
har,lstm,3,0.0,50,64,64,10,304518,7.709901855967473,0.1302255955727204,1.0,1.0,1.0,,0.2124425951564019,0.9455040871934604,0.9427883279061556,0.9431733908241604,,0.1040019100653743,0.9455040871934604
har,lstm,3,0.3,50,64,64,10,304518,7.562993977975566,0.1662490212399026,0.9891304347826086,0.986111111111111,0.9873772791023844,,0.2392808271201495,0.9264305177111716,0.9227111828290104,0.9233216548315232,,0.0757051497629313,0.9264305177111716
har,lstm,3,0.6,50,64,64,9,304518,7.499883288983256,0.2408112760471261,0.9021739130434784,0.9023011982570808,0.9032610222772496,,0.3164984846959647,0.885558583106267,0.8829337547319104,0.8840337156630289,,0.0854420927048683,0.885558583106267
har,ltc,1,0.0,50,64,64,48,306570,439.06542310502846,0.2350903561581736,0.9239130434782608,0.919000933706816,0.9179979518689196,,0.2987262563175986,0.8991825613079019,0.8961904443461819,0.8966416964079177,,2.6191574713590806,0.8991825613079019
har,ltc,1,0.3,50,64,64,40,306570,432.9670177989756,0.4334524649640788,0.8913043478260869,0.8842106286959228,0.8848333282458726,,0.4901336168398324,0.8310626702997275,0.8280211553777127,0.8256304910001262,,2.8978648528263826,0.8310626702997275
har,ltc,1,0.6,50,64,64,40,306570,468.2796724140062,0.5719626986462137,0.8586956521739131,0.853573373793962,0.852814766279002,,0.6648068014704889,0.7465940054495913,0.7446113767835079,0.7381322585579994,,3.3812022316574097,0.7465940054495913
har,ltc,2,0.0,50,64,64,46,306570,460.7005227439804,0.302698473567548,0.9239130434782608,0.9218604108309992,0.9217750720359827,,0.3204219988077798,0.8910081743869209,0.8873338495520873,0.887705048464816,,3.02602953121462,0.8910081743869209
har,ltc,2,0.3,50,64,64,47,306570,469.8796136699966,0.3152512480383334,0.9347826086956522,0.9324579831932772,0.9333944928030948,,0.3657419151278867,0.8719346049046321,0.8677885041870698,0.868043710621766,,3.2168437573901434,0.8719346049046321
har,ltc,2,0.6,50,64,64,38,306570,455.9677840269869,0.6970882052960603,0.7608695652173914,0.763328664799253,0.7551944074932582,,0.6743311133306747,0.7629427792915532,0.7600841354683568,0.7557315324438245,,2.906689929144016,0.7629427792915532
har,ltc,3,0.0,50,64,64,47,306570,429.26410447299713,0.2525501186433045,0.9130434782608696,0.9143382352941176,0.9152336209346308,,0.3242754945150838,0.896457765667575,0.892898578349398,0.8930881827325908,,3.2776778093437677,0.896457765667575
har,ltc,3,0.3,50,64,64,41,306570,470.6364215930225,0.4018350502719049,0.9021739130434784,0.9018207282913164,0.9020114942528736,,0.4798719000264149,0.8310626702997275,0.8289036451177845,0.8286904371068774,,3.1388277466769257,0.8310626702997275
har,ltc,3,0.6,50,64,64,34,306570,459.5272520009894,0.7861307807590651,0.8369565217391305,0.8371556956115779,0.8340909278409278,,0.8299830827141328,0.7384196185286104,0.733636240808372,0.7266042722981755,,2.8104347929267126,0.7384196185286104
har,cfc,1,0.0,50,64,64,10,185350,9.581308974011336,0.1225896616182897,0.9782608695652174,0.9761904761904764,0.9767628205128206,,0.1720083492125412,0.9373297002724796,0.9369857193883832,0.9372595227153996,,0.073739119877719,0.9373297002724796
har,cfc,1,0.3,50,64,64,15,185350,9.794201389013324,0.1903083949633266,0.9565217391304348,0.9565826330532212,0.9541383861236802,,0.2006870014669135,0.9427792915531336,0.9413149938252398,0.9420161133377244,,0.1033071416800674,0.9427792915531336
har,cfc,1,0.6,50,64,64,11,185350,9.665575054998044,0.317891864672951,0.9130434782608696,0.9073587768440712,0.9083132433675912,,0.3568211171461386,0.885558583106267,0.8843054145308243,0.8847748311010882,,0.083979792868825,0.885558583106267
har,cfc,2,0.0,50,64,64,8,185350,9.691411576000974,0.0793782440216644,0.9891304347826086,0.9895833333333334,0.9898617511520738,,0.1911362216424714,0.9318801089918256,0.9305263033490492,0.9312684939656014,,0.0866509208580027,0.9318801089918256
har,cfc,2,0.3,50,64,64,14,185350,9.364143312966917,0.0831956843967023,0.9891304347826086,0.9901960784313726,0.98989898989899,,0.2251092751969758,0.9318801089918256,0.9297045357496176,0.9309177806177648,,0.0756831772432583,0.9318801089918256
har,cfc,2,0.6,50,64,64,23,185350,9.464755423017778,0.2216567150924517,0.9456521739130436,0.9443627450980392,0.9454806390967344,,0.3396802508051454,0.9019073569482288,0.8989169983022443,0.8998815775650982,,0.072305730216672,0.9019073569482288
har,cfc,3,0.0,50,64,64,16,185350,9.734803926025052,0.0472808543430722,0.9891304347826086,0.9901960784313726,0.98989898989899,,0.1942399851267279,0.9455040871934604,0.9451881271809552,0.9455830480340284,,0.0912772778013076,0.9455040871934604
har,cfc,3,0.3,50,64,64,10,185350,9.850901886005886,0.1099119192880132,0.9782608695652174,0.9803921568627452,0.979779411764706,,0.2433067823097881,0.9237057220708448,0.9229502377555656,0.9241302953947768,,0.0922183486523883,0.9237057220708448
har,cfc,3,0.6,50,64,64,19,185350,9.6947216319968,0.1989130040873652,0.9456521739130436,0.9497549019607844,0.9494949494949496,,0.4011989289473447,0.888283378746594,0.8854333185788104,0.8866220890597482,,0.0940288636866419,0.888283378746594
physionet,lstm,1,0.0,50,64,64,8,48514,128.25422807398718,0.3146851978699366,0.8716666666666667,0.5614294702989909,0.5761429003935816,0.8235650532497494,0.3210203862190247,0.88,0.5864929738295542,0.6142719382835101,0.8030341870382887,0.1587362582601296,0.8030341870382887
physionet,lstm,1,0.3,50,64,64,7,48514,135.2575427290285,0.33429106036822,0.8716666666666667,0.5462585351075482,0.5512428242561995,0.8026613222716786,0.3429804277420044,0.8733333333333333,0.5623965882873856,0.577762139338494,0.7821071520123046,0.1769975067387955,0.7821071520123046
physionet,lstm,1,0.6,50,64,64,30,48514,138.62246691901237,0.5963842805226643,0.8466666666666667,0.6126634196359908,0.628032345013477,0.7782852881545524,0.7593753552436828,0.8166666666666667,0.6003122742420358,0.6033653846153846,0.7247791941460232,0.1868113517411984,0.7247791941460232
physionet,lstm,2,0.0,50,64,64,11,48514,135.4977464179974,0.3997018786271413,0.8633333333333333,0.5616508587541655,0.5757303990893725,0.8024515858404605,0.3663413500785827,0.8766666666666667,0.5795017594556174,0.6035572699024965,0.8227494115727902,0.1779001133400015,0.8227494115727902
physionet,lstm,2,0.3,50,64,64,15,48514,132.56600979698123,0.4238928832610448,0.8266666666666667,0.585887068583813,0.5944997530607471,0.7475006408613176,0.377387166817983,0.85,0.6550534827899606,0.6647711752874277,0.7880263801822377,0.172261893361186,0.7880263801822377
physionet,lstm,2,0.6,50,64,64,9,48514,129.83263463701587,0.3538651380936304,0.855,0.5972710959893733,0.6169397744200894,0.7787280650649017,0.3398951987425486,0.8616666666666667,0.5960825895458041,0.6185632549268913,0.7901470485423318,0.1710624333160618,0.7901470485423318
physionet,lstm,3,0.0,50,64,64,9,48514,121.82401594502151,0.3142040940125783,0.87,0.600918179487777,0.627815243669678,0.8252662487474074,0.3278285765647888,0.8683333333333333,0.5847801263079397,0.6078723351450624,0.8042226934818577,0.1746918717011188,0.8042226934818577
physionet,lstm,3,0.3,50,64,64,9,48514,130.97256788698724,0.3395527374744415,0.8666666666666667,0.5888699867166927,0.6122903944945236,0.7893314068653724,0.3479794152577718,0.86,0.5597166227773764,0.5726495726495726,0.7732982219011443,0.1987709483364597,0.7732982219011443
physionet,lstm,3,0.6,50,64,64,7,48514,124.102344659972,0.3492617845535278,0.8633333333333333,0.5262520099741326,0.5173442159786532,0.7609470765071893,0.3399603943030039,0.8616666666666667,0.5202279135885903,0.5065349438658726,0.7842278203723987,0.1685355732721897,0.7842278203723987
physionet,ltc,1,0.0,50,64,64,49,48568,3516.374665469979,0.3405313859383265,0.8616666666666667,0.5657407191629186,0.5812275582539376,0.7784717205378574,0.3679822627703348,0.86,0.564773601174524,0.5796497080900751,0.7325860501969192,4.493750304973219,0.7325860501969192
physionet,ltc,1,0.3,50,64,64,36,48568,3129.862975183991,0.3546375554800033,0.8666666666666667,0.5534711379366596,0.5636363636363636,0.7514157209107222,0.375058844089508,0.8516666666666667,0.5295961408496656,0.5273959872910232,0.7084663606068374,3.956274786614813,0.7084663606068374
physionet,ltc,1,0.6,50,64,64,34,48568,3166.9480946810218,0.3666253809134165,0.8666666666666667,0.5383002027452168,0.5383017198260936,0.7231712148400177,0.3710632725556691,0.8633333333333333,0.5464799235627228,0.5527272727272727,0.7050872736594347,4.093906981676507,0.7050872736594347
physionet,ltc,2,0.0,50,64,64,49,48568,3518.0857893810025,0.3605355278650919,0.855,0.5669292256064878,0.581646964536165,0.7427000069912144,0.347144919236501,0.8733333333333333,0.5826245018759758,0.6067745162291746,0.7561697466849991,3.8092727466331175,0.7561697466849991
physionet,ltc,2,0.3,50,64,64,21,48568,3209.860723302001,0.366099385023117,0.8616666666666667,0.5202279135885903,0.5065349438658726,0.7162033045139942,0.354594251314799,0.8633333333333333,0.53130898837128,0.526759262821746,0.7571485166973503,3.6440233449684456,0.7571485166973503
physionet,ltc,2,0.6,50,64,64,21,48568,3179.7654806000064,0.3688189077377319,0.8616666666666667,0.5050569783971476,0.4745449749406489,0.7131970823332014,0.3679192066192627,0.865,0.5171051711682318,0.4980946184589646,0.723963552469064,3.909334551620608,0.723963552469064
physionet,ltc,3,0.0,50,64,64,50,48568,3104.051808819,0.3468782357374827,0.8616666666666667,0.5404558271771807,0.5431150744502243,0.7666565682459043,0.3537804424762726,0.865,0.5322761063596747,0.5279307631785995,0.7470811679988814,3.97218761005206,0.7470811679988814
physionet,ltc,3,0.3,50,64,64,50,48568,3120.5470211689826,0.3594102116425832,0.8583333333333333,0.5638064831861295,0.5780904871813962,0.7464752627531402,0.3626939058303833,0.86,0.5344317307916385,0.533316048742546,0.7303954696930856,4.479372056666762,0.7303954696930856
physionet,ltc,3,0.6,50,64,64,50,48568,3224.489085820969,0.3914867047468821,0.8566666666666667,0.5274405164177017,0.522204526093559,0.6648178788655589,0.3822989896933237,0.8583333333333333,0.5334646128032439,0.5321057991357718,0.6888443522639883,4.411177756652857,0.6888443522639883
physionet,cfc,1,0.0,50,64,64,4,57218,199.21832601202183,0.3447300066550572,0.855,0.5821001607979306,0.6001807611884282,0.7775395586213325,0.3405243655045827,0.8716666666666667,0.6119992542704668,0.6408554170974587,0.7761413157465453,0.4620775366978099,0.7761413157465453
physionet,cfc,1,0.3,50,64,64,4,57218,197.42384852695977,0.3511946183443069,0.8566666666666667,0.5527254084034396,0.5624745624745624,0.7623220153340635,0.3748116779327393,0.855,0.5568152688121927,0.5681632045268409,0.7030598214909929,0.449862421664875,0.7030598214909929
physionet,cfc,1,0.6,50,64,64,5,57218,195.2869169519981,0.3822059231996536,0.865,0.5373330847568223,0.5370326268159086,0.6953228775838363,0.3785501094659169,0.8616666666666667,0.5151709351914427,0.4963541297950019,0.7174850271492159,0.4448071967150706,0.7174850271492159
physionet,cfc,2,0.0,50,64,64,3,57218,196.82947950798552,0.3482598483562469,0.8666666666666667,0.5787560299223975,0.5996663886572143,0.778401808394118,0.3324730523427327,0.855,0.5467013120178975,0.5536592248035502,0.8047819906317727,0.4215040316921659,0.8047819906317727
physionet,cfc,2,0.3,50,64,64,3,57218,196.3357651359984,0.3682486919562022,0.8583333333333333,0.5334646128032439,0.5321057991357718,0.7244762415231526,0.3357576704025268,0.8683333333333333,0.5544382559250541,0.5651336250791292,0.7950175945561744,0.4498350517436241,0.7950175945561744
